stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
"FR_NAOLIB:StopPlace:871",,"Avenue des Pins",,,47.253483,-1.597178,"",,1,,,1,,
"FR_NAOLIB:StopPlace:630",,"St-Jean",,,47.191776,-1.523627,"",,1,,,2,,
"FR_NAOLIB:StopPlace:872",,"Hameau Fleuri",,,47.251041,-1.589779,"",,1,,,1,,
"FR_NAOLIB:StopPlace:628",,"Naudières",,,47.173370,-1.536363,"",,1,,,1,,
"FR_NAOLIB:StopPlace:629",,"Quai Surcouf",,,47.194881,-1.577908,"",,1,,,1,,
"FR_NAOLIB:StopPlace:624",,"Jean Perrin",,,47.181145,-1.560649,"",,1,,,1,,
"FR_NAOLIB:StopPlace:866",,"Bac du Pellerin",,,47.202938,-1.754894,"",,1,,,1,,
"FR_NAOLIB:StopPlace:625",,"Le Corbusier",,,47.190159,-1.568581,"",,1,,,0,,
"FR_NAOLIB:StopPlace:867",,"Coteaux",,,47.184502,-1.669705,"",,1,,,1,,
"FR_NAOLIB:StopPlace:626",,"Joliverie",,,47.189850,-1.519349,"",,1,,,1,,
"FR_NAOLIB:StopPlace:868",,"Mimosas",,,47.241299,-1.587546,"",,1,,,2,,
"FR_NAOLIB:StopPlace:627",,"Trentemoult",,,47.191692,-1.582237,"",,1,,,0,,
"FR_NAOLIB:StopPlace:869",,"Corniche",,,47.252743,-1.594571,"",,1,,,0,,
"FR_NAOLIB:StopPlace:884",,"Fac de Lettres",,,47.245518,-1.551838,"",,1,,,1,,
"FR_NAOLIB:StopPlace:642",,"Gauguin",,,47.166817,-1.555185,"",,1,,,1,,
"FR_NAOLIB:StopPlace:400",,"Indre",,,47.201431,-1.668682,"",,1,,,0,,
"FR_NAOLIB:StopPlace:643",,"Guilloterie",,,47.169956,-1.560472,"",,1,,,1,,
"FR_NAOLIB:StopPlace:885",,"Bellevue",,,47.235390,-1.473639,"",,1,,,2,,
"FR_NAOLIB:StopPlace:401",,"Roche Maurice",,,47.196842,-1.618021,"",,1,,,0,,
"FR_NAOLIB:StopPlace:644",,"Chapelles",,,47.164375,-1.539098,"",,1,,,2,,
"FR_NAOLIB:StopPlace:886",,"Petit Rocher",,,47.240551,-1.479084,"",,1,,,1,,
"FR_NAOLIB:StopPlace:402",,"Cormerais",,,47.194725,-1.627017,"",,1,,,0,,
"FR_NAOLIB:StopPlace:645",,"Simone Signoret",,,47.175385,-1.563644,"",,1,,,2,,
"FR_NAOLIB:StopPlace:403",,"Bac de Couëron",,,47.205982,-1.751706,"",,1,,,2,,
"FR_NAOLIB:StopPlace:887",,"Juiverie",,,47.210789,-1.624824,"",,1,,,1,,
"FR_NAOLIB:StopPlace:880",,"Chassay",,,47.245754,-1.484776,"",,1,,,1,,
"FR_NAOLIB:StopPlace:881",,"La Garde",,,47.255520,-1.508764,"",,1,,,0,,
"FR_NAOLIB:StopPlace:640",,"Poyaux",,,47.166702,-1.530785,"",,1,,,2,,
"FR_NAOLIB:StopPlace:882",,"Glacisol",,,47.251621,-1.504501,"",,1,,,1,,
"FR_NAOLIB:StopPlace:641",,"Robinière",,,47.164024,-1.535751,"",,1,,,2,,
"FR_NAOLIB:StopPlace:883",,"Pétrels",,,47.254288,-1.507083,"",,1,,,1,,
"FR_NAOLIB:StopPlace:639",,"Bel Être",,,47.179340,-1.567609,"",,1,,,2,,
"FR_NAOLIB:StopPlace:635",,"Vert Praud",,,47.166569,-1.549890,"",,1,,,1,,
"FR_NAOLIB:StopPlace:877",,"Tréca",,,47.250172,-1.501435,"",,1,,,2,,
"FR_NAOLIB:StopPlace:636",,"George Sand",,,47.165813,-1.545376,"",,1,,,1,,
"FR_NAOLIB:StopPlace:878",,"Fac de Droit",,,47.243771,-1.552042,"",,1,,,1,,
"FR_NAOLIB:StopPlace:637",,"Classerie",,,47.168110,-1.558762,"",,1,,,1,,
"FR_NAOLIB:StopPlace:879",,"Clétras",,,47.255646,-1.511148,"",,1,,,1,,
"FR_NAOLIB:StopPlace:638",,"Jaguère",,,47.175545,-1.567763,"",,1,,,1,,
